slug	name	package_group	attack_category	packages	description	url
chkrootkit	chkrootkit	forensics	数字取证	chkrootkit,chklastlog,chkrootkit,chkrootkit-daily,chkwtmp	Rootkit detector The chkrootkit security scanner searches for signs that the system is infected with a ‘rootkit’. Rootkits are a form of malware that seek to exploit security flaws to grant unauthorised access to a computer or its services, generally for malicious purposes. chkrootkit can identify signs of over 70 different rootkits (see the	https://www.kali.org/tools/chkrootkit/
chntpw	chntpw	passwords	凭据访问	chntpw,chntpw,reged,sampasswd,samunlock,samusrgrp	NT SAM password recovery utility This little program provides a way to view information and change user passwords in a Windows NT/2000 user database file. Old passwords need not be known since they are overwritten. In addition it also contains a simple registry editor (same size data writes) and an hex-editor which enables you to	https://www.kali.org/tools/chntpw/
chromium	chromium	utils		chromium,chromium,chromium-common,chromium-driver,chromedriver,chromium-headless-shell,chromium-headless-shell,chromium-l10n,chromium-sandbox,chromium-shell,chromium-shell	Web browser Web browser that aims to build a safer, faster, and more stable internet browsing experience. This package contains the web browser component.	https://www.kali.org/tools/chromium/
cifs-utils	cifs-utils	utils		cifs-utils,cifs.idmap,cifs.upcall,cifscreds,getcifsacl,mount.cifs,mount.smb3,setcifsacl,smb2-quota,smbinfo	Common Internet File System utilities The SMB/CIFS protocol provides support for cross-platform file sharing with Microsoft Windows, OS X, and other Unix systems. This package provides utilities for managing mounts of CIFS network file systems.	https://www.kali.org/tools/cifs-utils/
cilium-cli	cilium-cli	utils		cilium-cli,cilium	Cilium CLI (program) This package contains a CLI to install, manage & troubleshoot Kubernetes clusters running Cilium.	https://www.kali.org/tools/cilium-cli/
ciphey	ciphey	utils		python3-ciphey,ciphey	root@kali:~# ciphey --help Usage: ciphey [OPTIONS] [TEXT_STDIN] Ciphey - Automated Decryption Tool Documentation: https://github.com/Ciphey/Ciphey/wiki Discord (support here, we're online most of the day): https://discord.ciphey.online/	https://www.kali.org/tools/ciphey/
cisco-auditing-tool	cisco-auditing-tool	vulnerability	侦察	cisco-auditing-tool	Scans Cisco routers for vulnerabilities Perl script which scans cisco routers for common vulnerabilities.	https://www.kali.org/tools/cisco-auditing-tool/
cisco-global-exploiter	cisco-global-exploiter	vulnerability	发现	cisco-global-exploiter,cge.pl	Simple and fast Cisco exploitation tool Cisco Global Exploiter (CGE), is an advanced, simple and fast security testing tool.	https://www.kali.org/tools/cisco-global-exploiter/
cisco-ocs	cisco-ocs	vulnerability	发现	cisco-ocs,cisco-ocs	Mass Cisco scanner A mass Cisco scanning tool.	https://www.kali.org/tools/cisco-ocs/
cisco-torch	cisco-torch	vulnerability	发现	cisco-torch,cisco-torch	Cisco device scanner The main feature that makes cisco-torch different from similar tools is the extensive use of forking to launch multiple scanning processes on the background for maximum scanning efficiency. Also, it uses several methods of application layer fingerprinting simultaneoulsy, if needed.	https://www.kali.org/tools/cisco-torch/
cisco7crack	cisco7crack	utils		cisco7crack,cisco7crack	Crypt and decrypt the cisco type 7 passwords This tool is used to crack Cisco Type 7 passwords. Can be used to encrypt and decrypt Cisco device passwords. Originally designed in order to allow quick decryption of stored passwords, Type 7 passwords are not a secure form of password storage. There are many tools available that can easily decrypt these passwords. Use of Type 7	https://www.kali.org/tools/cisco7crack/
clamav	clamav	protect		clamav,clambc,clamscan,clamsubmit,sigtool,clamav-base,clamav-daemon,clamconf,clamd,clamdtop,clamonacc,clamav-doc,clamav-docs,clamav-freshclam,freshclam,clamav-milter,clamav-milter,clamav-testfiles,clamdscan,clamdscan,libclamav-dev,clamav-config,libclamav12	Anti-virus utility for Unix - command-line interface Clam AntiVirus is an anti-virus toolkit for Unix. The main purpose of this software is the integration with mail servers (attachment scanning). The package provides a flexible and scalable multi-threaded daemon in the clamav-daemon package, a command-line scanner in the clamav package, and a tool for automatic updating via	https://www.kali.org/tools/clamav/
cloud-enum	cloud-enum	utils		cloud-enum,cloud_enum	Multi-cloud open source intelligence tool cloud_enum enumerates public resources matching user requested keywords in public clouds: Amazon Web Services: Open S3 Buckets Protected S3 Buckets	https://www.kali.org/tools/cloud-enum/
cloudbrute	cloudbrute	utils		cloudbrute,cloudbrute	Awesome cloud enumerator (program) This package contains a tool to find a company (target) infrastructure, files, and apps on the top cloud providers (Amazon, Google, Microsoft, DigitalOcean, Alibaba, Vultr, Linode). The outcome is useful for bug bounty hunters, red teamers, and penetration testers alike. The complete writeup is available here	https://www.kali.org/tools/cloudbrute/
cmospwd	cmospwd	passwords	凭据访问	cmospwd,cmospwd	Decrypt BIOS passwords from CMOS CmosPwd is a cross-platform tool to decrypt password stored in CMOS used to access a computer’s BIOS setup. This application should work out of the box on most modern systems, but some more esoteric BIOSes may not be supported or may require additional steps.	https://www.kali.org/tools/cmospwd/
cmseek	cmseek	utils		cmseek,cmseek	CMS Detection and Exploitation suite This package contains a CMS Detection and Exploitation suite. It scans WordPress, Joomla, Drupal and over 180 other CMSs. A content management system (CMS) manages the creation and modification of digital content. It typically supports multiple users in a collaborative environment.	https://www.kali.org/tools/cmseek/
cntlm	cntlm	utils		cntlm,cntlm	Fast NTLM authentication proxy with tunneling Cntlm is a fast and efficient NTLM proxy, with support for TCP/IP tunneling, authenticated connection caching, ACLs, proper daemon logging and behaviour and much more. It has up to ten times faster responses than similar NTLM proxies, while using by orders or magnitude less RAM and CPU. Manual page contains detailed information.	https://www.kali.org/tools/cntlm/
code-oss	code-oss	utils	资源开发	code-oss,code,code-oss,vscode	Open Source package of vscode This package contains code-oss, a code editor with what developers need for their core edit-build-debug cycle. It provides comprehensive code editing, navigation, and understanding support along with lightweight debugging, a rich extensibility model, and lightweight integration with existing tools. This package is built from Microsoft open source code named code-oss.	https://www.kali.org/tools/code-oss/
coercer	coercer	utils		coercer,coercer	Coerce a Windows server to authenticate on an arbitrary machine A Python script to automatically coerce a Windows server to authenticate on an arbitrary machine through many methods.	https://www.kali.org/tools/coercer/
colly	colly	utils		colly,colly,golang-github-gocolly-colly-dev	Elegant Scraper and Crawler Framework for Golang (program) This package contains a Colly Lightning Fast and Elegant Scraping Framework for Gophers. Colly provides a clean interface to write any kind of crawler/scraper/spider. With Colly you can easily extract structured data from websites, which can be used for a wide range of applications, like data mining, data	https://www.kali.org/tools/colly/
command-not-found	command-not-found	utils		command-not-found,command-not-found,update-command-not-found	Suggest installation of packages in interactive bash sessions This package will install a handler for command_not_found that looks up programs not currently installed but available from the repositories.	https://www.kali.org/tools/command-not-found/
commix	commix	web	初始访问	commix,commix	Automated All-in-One OS Command Injection and Exploitation Tool This package contains Commix (short for [comm]and [i]njection e[x]ploiter). It has a simple environment and it can be used, from web developers, penetration testers or even security researchers to test web applications with the view to find bugs, errors or vulnerabilities related to command injection attacks. By using this tool, it is very easy to find and exploit a command	https://www.kali.org/tools/commix/
copy-router-config	copy-router-config	vulnerability	发现	copy-router-config,copy-router-config.pl,merge-router-config.pl	Copies Cisco configs via SNMP This package copies configuration files from Cisco devices running SNMP.	https://www.kali.org/tools/copy-router-config/
cosign	cosign	utils		cosign,cosign,golang-github-sigstore-cosign-dev	Code signing/transparency for containers and binaries (program) Signing OCI containers (and other artifacts) using Sigstore Cosign supports: “Keyless signing” with the Sigstore public good Fulcio certificate authority and Rekor transparency log (default) Hardware and KMS signing	https://www.kali.org/tools/cosign/
covenant-kbx	covenant-kbx	utils		covenant-kbx,covenant-kbx	.NET command and control framework This package contains Covenant: .NET command and control framework that aims to highlight the attack surface of .NET, make the use of offensive .NET tradecraft easier, and serve as a collaborative command and control platform for red teamers. Covenant is an ASP.NET Core, cross-platform application that includes a	https://www.kali.org/tools/covenant-kbx/
