slug	name	package_group	attack_category	packages	description	url
ncat-w32	ncat-w32	windows-resources		ncat-w32,ncat-w32	Netcat for the 21st century Ncat is a feature-packed networking utility which reads and writes data across networks from the command line. Ncat was written for the Nmap Project as a much-improved reimplementation of the venerable Netcat. It uses both TCP and UDP for communication and is designed to be a reliable back-end tool to instantly provide network connectivity to other applications and users. Ncat	https://www.kali.org/tools/ncat-w32/
ncrack	ncrack	web	凭据访问	ncrack,ncrack	High-speed network authentication cracking tool Ncrack is a high-speed network authentication cracking tool. It was built to help companies secure their networks by proactively testing all their hosts and networking devices for poor passwords. Security professionals also rely on Ncrack when auditing their clients. Ncrack was designed	https://www.kali.org/tools/ncrack/
ncurses-hexedit	ncurses-hexedit	utils		ncurses-hexedit,hexeditor	Edit files/disks in hex, ASCII and EBCDIC Hexedit is a file editor which allows editing and viewing a file in hexadecimal, along with its ASCII or EBCDIC text equivalent. Standard editing features include insert, delete, search (text or byte searches), highlighted changes, undo, two different viewing formats, and full screen text snapshots. Allows editing of fixed disks as well. Includes	https://www.kali.org/tools/ncurses-hexedit/
net-snmp	net-snmp	information-gathering		libnetsnmptrapd45,libsnmp-base,libsnmp-dev,mib2c,mib2c-update,net-snmp-config,libsnmp-perl,libsnmp45,snmp,agentxtrap,encode_keychange,fixproc,snmp-bridge-mib,snmpbulkget,snmpbulkwalk,snmpcheck,snmpconf,snmpdelta,snmpdf,snmpget,snmpgetnext,snmpinform,snmpnetstat,snmpping,snmpps,snmpset,snmpstatus,snmptable,snmptest,snmptls,snmptranslate,snmptrap,snmpusm,snmpvacm,snmpwalk,snmpd,net-snmp-create-v3-user,snmpd,snmptrapd,snmptrapd,traptoemail,tkmib,tkmib	SNMP (Simple Network Management Protocol) trap library The Simple Network Management Protocol (SNMP) provides a framework for the exchange of management information between agents (servers) and clients. The Net-SNMP trap library contains functions for receiving SNMP trap and inform messages.	https://www.kali.org/tools/net-snmp/
net-tools	net-tools	wireless		net-tools,arp,ifconfig,ipmaddr,iptunnel,mii-tool,nameif,netstat,plipconfig,rarp,route,slattach	NET-3 networking toolkit This package includes the important tools for controlling the network subsystem of the Linux kernel. This includes arp, ifconfig, netstat, rarp, nameif and route. Additionally, this package contains utilities relating to particular network hardware types (plipconfig, slattach, mii-tool) and advanced aspects of IP configuration (iptunnel, ipmaddr).	https://www.kali.org/tools/net-tools/
netbase	netbase	information-gathering		netbase	Basic TCP/IP networking system This package provides the necessary infrastructure for basic TCP/IP based networking. In particular, it supplies common name-to-number mappings in /etc/services, /etc/rpc, /etc/protocols and /etc/ethertypes.	https://www.kali.org/tools/netbase/
netcat	netcat	information-gathering		netcat-traditional,nc.traditional	TCP/IP swiss army knife A simple Unix utility which reads and writes data across network connections using TCP or UDP protocol. It is designed to be a reliable “back-end” tool that can be used directly or easily driven by other programs and scripts. At the same time it is a feature-rich network debugging and exploration tool, since it can create almost any kind	https://www.kali.org/tools/netcat/
netdiscover	netdiscover	information-gathering	发现	netdiscover,netdiscover	Active/passive network address scanner using ARP requests Netdiscover is an active/passive address reconnaissance tool, mainly developed for those wireless networks without dhcp server, when you are wardriving. It can be also used on hub/switched networks. Built on top of libnet and libpcap, it can passively detect online hosts, or search for them, by actively sending ARP requests.	https://www.kali.org/tools/netdiscover/
netexec	netexec	top10	防御规避	netexec,netexec,nxc,nxcdb	Network Execution Tool NetExec (AKA nxc) is a network service exploitation tool that helps automate assessing the security of large networks. NetExec is the continuation of CrackMapExec, which was maintained by mpgn over the years, but discontinued upon mpgn’s retirement.	https://www.kali.org/tools/netexec/
netmask	netmask	information-gathering	发现	netmask,netmask	Helps determine network masks This is a tiny program handy if you work with firewalls or routers occasionally (possibly using this as a helper for shell scripts). It can determine the smallest set of network masks to specify a range of hosts. It can also convert between common IP netmask and address formats.	https://www.kali.org/tools/netmask/
